STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,D_COUNTRY,Country,FREQUENCY,Frequency,D_SOURCE_CATEGORIES,Source Categories,D_SUBSTANCES,Substances,D_UNIT,Unit,TIME_PERIOD,Time,OBS_VALUE,Measurement,OBS_STATUS,Status,FOOTNOTE,Footnote,OBS_COMMENT,Comment,DECIMALS,Decimals
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2006,,69191.392363,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2007,,66650.568766,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2008,,65238.732313,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2009,,62376.018630,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2010,,60994.638905,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2011,,59397.259920,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2012,,59734.482514,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2013,,58787.633071,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2014,,57264.733118,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2015,,56673.752291,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2016,,54945.073472,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2017,,54088.932837,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2018,,51836.401329,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2019,,49006.146372,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2020,,47774.664642,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2021,,46670.780590,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2022,,45584.136306,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2023,,44930.610401,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CH4,Methane,KT_CO2_EQ,Kilotons CO2-equivalent,2024,,44120.080491,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1990,,1054795.856788,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1991,,1016929.571760,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1992,,969464.527034,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1993,,959385.310651,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1994,,943226.821392,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1995,,939932.599162,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1996,,959689.121706,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1997,,931507.135440,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1998,,923497.668939,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,1999,,895441.169716,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2000,,898974.466391,,,,,,,,2,
DATAFLOW,UBA:DF_CLIMATE_EMISSIONS_GHG_TRENDS(2026.0),Greenhouse gas emissions according to UNFCCC (Paris Agreement),I,DE,Germany,A,Annual,TOTAL_WITHOUT_LULUCF,"Total Emissions (without Land Use, Land Use Change and Forestry)",CO2,Carbon dioxide,KT_CO2_EQ,Kilotons CO2-equivalent,2001,,915253.644221,,,,,,,,2,
